carimbo,container,cpu_pct,mem_uso,mem_pct
15:15:24,prontudigital-backend,0.21%,423.1MiB / 1GiB,41.31%
15:15:24,prontudigital-db,0.00%,62.96MiB / 512MiB,12.30%
15:15:31,prontudigital-backend,171.21%,423.9MiB / 1GiB,41.40%
15:15:31,prontudigital-db,29.49%,63.14MiB / 512MiB,12.33%
15:15:39,prontudigital-backend,87.50%,426.1MiB / 1GiB,41.61%
15:15:39,prontudigital-db,18.91%,64.58MiB / 512MiB,12.61%
15:15:48,prontudigital-backend,196.80%,429.2MiB / 1GiB,41.92%
15:15:48,prontudigital-db,67.40%,70.03MiB / 512MiB,13.68%
15:15:56,prontudigital-backend,200.24%,434MiB / 1GiB,42.39%
15:15:56,prontudigital-db,76.89%,81.95MiB / 512MiB,16.00%
15:16:05,prontudigital-backend,137.38%,441.2MiB / 1GiB,43.09%
15:16:05,prontudigital-db,22.20%,85.14MiB / 512MiB,16.63%
15:16:13,prontudigital-backend,203.15%,457.6MiB / 1GiB,44.69%
15:16:13,prontudigital-db,92.42%,94.49MiB / 512MiB,18.45%
15:16:22,prontudigital-backend,212.10%,455.6MiB / 1GiB,44.49%
15:16:22,prontudigital-db,97.63%,109.8MiB / 512MiB,21.45%
15:16:31,prontudigital-backend,199.07%,460.2MiB / 1GiB,44.94%
15:16:31,prontudigital-db,91.31%,114.6MiB / 512MiB,22.39%
15:16:39,prontudigital-backend,200.49%,468.4MiB / 1GiB,45.75%
15:16:39,prontudigital-db,73.19%,115MiB / 512MiB,22.47%
15:16:48,prontudigital-backend,196.90%,479MiB / 1GiB,46.78%
15:16:48,prontudigital-db,49.14%,116.2MiB / 512MiB,22.70%
15:16:56,prontudigital-backend,201.87%,483.1MiB / 1GiB,47.18%
15:16:56,prontudigital-db,85.85%,116.8MiB / 512MiB,22.82%
15:17:05,prontudigital-backend,210.06%,488.3MiB / 1GiB,47.69%
15:17:05,prontudigital-db,55.46%,116.9MiB / 512MiB,22.84%
15:17:14,prontudigital-backend,198.04%,498MiB / 1GiB,48.64%
15:17:14,prontudigital-db,77.18%,116.8MiB / 512MiB,22.81%
15:17:22,prontudigital-backend,202.64%,506.6MiB / 1GiB,49.47%
15:17:22,prontudigital-db,85.40%,118.6MiB / 512MiB,23.17%
15:17:30,prontudigital-backend,198.74%,508MiB / 1GiB,49.61%
15:17:30,prontudigital-db,77.54%,116.5MiB / 512MiB,22.76%
15:17:39,prontudigital-backend,219.61%,508.9MiB / 1GiB,49.70%
15:17:39,prontudigital-db,103.71%,119MiB / 512MiB,23.24%
15:17:48,prontudigital-backend,199.27%,509.7MiB / 1GiB,49.78%
15:17:48,prontudigital-db,80.54%,120.5MiB / 512MiB,23.53%
15:17:56,prontudigital-backend,200.55%,518.7MiB / 1GiB,50.65%
15:17:56,prontudigital-db,88.08%,121.7MiB / 512MiB,23.77%
15:18:05,prontudigital-backend,196.97%,523.7MiB / 1GiB,51.14%
15:18:05,prontudigital-db,105.45%,120.9MiB / 512MiB,23.62%
15:18:13,prontudigital-backend,198.46%,533.3MiB / 1GiB,52.08%
15:18:13,prontudigital-db,98.86%,121.3MiB / 512MiB,23.68%
15:18:21,prontudigital-backend,197.36%,542.6MiB / 1GiB,52.99%
15:18:21,prontudigital-db,99.03%,122.1MiB / 512MiB,23.84%
15:18:29,prontudigital-backend,195.52%,547.7MiB / 1GiB,53.48%
15:18:29,prontudigital-db,98.57%,122.8MiB / 512MiB,23.99%
15:18:38,prontudigital-backend,179.27%,547.7MiB / 1GiB,53.49%
15:18:38,prontudigital-db,102.39%,123.8MiB / 512MiB,24.17%
15:18:46,prontudigital-backend,118.15%,549.8MiB / 1GiB,53.69%
15:18:46,prontudigital-db,103.11%,123.6MiB / 512MiB,24.15%
15:18:54,prontudigital-backend,173.20%,550.5MiB / 1GiB,53.76%
15:18:54,prontudigital-db,107.79%,124MiB / 512MiB,24.23%
15:19:02,prontudigital-backend,119.33%,551MiB / 1GiB,53.81%
15:19:02,prontudigital-db,104.31%,126.6MiB / 512MiB,24.73%
15:19:10,prontudigital-backend,109.16%,551.4MiB / 1GiB,53.84%
15:19:10,prontudigital-db,100.91%,124.7MiB / 512MiB,24.36%
15:19:18,prontudigital-backend,118.91%,552.4MiB / 1GiB,53.95%
15:19:18,prontudigital-db,103.19%,125.2MiB / 512MiB,24.45%
15:19:26,prontudigital-backend,133.80%,553.2MiB / 1GiB,54.02%
15:19:26,prontudigital-db,100.66%,126.2MiB / 512MiB,24.65%
15:19:34,prontudigital-backend,141.96%,553.6MiB / 1GiB,54.06%
15:19:34,prontudigital-db,102.03%,128.8MiB / 512MiB,25.15%
15:19:42,prontudigital-backend,129.00%,554.1MiB / 1GiB,54.11%
15:19:42,prontudigital-db,99.33%,127MiB / 512MiB,24.81%
15:19:50,prontudigital-backend,125.40%,555.3MiB / 1GiB,54.23%
15:19:50,prontudigital-db,101.29%,129.1MiB / 512MiB,25.21%
15:19:59,prontudigital-backend,123.24%,555.7MiB / 1GiB,54.27%
15:19:59,prontudigital-db,103.39%,128.5MiB / 512MiB,25.10%
15:20:07,prontudigital-backend,123.31%,555.9MiB / 1GiB,54.29%
15:20:07,prontudigital-db,100.27%,128.4MiB / 512MiB,25.08%
15:20:15,prontudigital-backend,108.59%,556MiB / 1GiB,54.29%
15:20:15,prontudigital-db,102.48%,128.9MiB / 512MiB,25.18%
15:20:23,prontudigital-backend,165.91%,556MiB / 1GiB,54.30%
15:20:23,prontudigital-db,99.81%,129.3MiB / 512MiB,25.25%
15:20:31,prontudigital-backend,119.65%,556.8MiB / 1GiB,54.38%
15:20:31,prontudigital-db,103.15%,129.5MiB / 512MiB,25.29%
15:20:39,prontudigital-backend,138.47%,557.7MiB / 1GiB,54.46%
15:20:39,prontudigital-db,101.74%,129.3MiB / 512MiB,25.25%
15:20:48,prontudigital-backend,138.97%,559MiB / 1GiB,54.59%
15:20:48,prontudigital-db,105.02%,129.8MiB / 512MiB,25.34%
15:20:57,prontudigital-backend,149.93%,559.2MiB / 1GiB,54.61%
15:20:57,prontudigital-db,106.11%,129.9MiB / 512MiB,25.38%
15:21:07,prontudigital-backend,96.01%,559.8MiB / 1GiB,54.66%
15:21:07,prontudigital-db,103.83%,129.8MiB / 512MiB,25.35%
15:21:16,prontudigital-backend,119.78%,559.1MiB / 1GiB,54.60%
15:21:16,prontudigital-db,104.03%,129.7MiB / 512MiB,25.34%
15:21:25,prontudigital-backend,133.35%,559.2MiB / 1GiB,54.61%
15:21:25,prontudigital-db,100.73%,129.8MiB / 512MiB,25.35%
15:21:34,prontudigital-backend,110.34%,559.3MiB / 1GiB,54.62%
