carimbo,container,cpu_pct,mem_uso,mem_pct
16:17:12,prontudigital-backend,0.24%,534.5MiB / 1GiB,52.20%
16:17:12,prontudigital-db,0.00%,64.84MiB / 512MiB,12.66%
16:17:18,prontudigital-backend,11.26%,534.7MiB / 1GiB,52.22%
16:17:18,prontudigital-db,25.70%,65.6MiB / 512MiB,12.81%
16:17:27,prontudigital-backend,23.86%,534.9MiB / 1GiB,52.23%
16:17:27,prontudigital-db,7.28%,66.62MiB / 512MiB,13.01%
16:17:35,prontudigital-backend,24.82%,533MiB / 1GiB,52.05%
16:17:35,prontudigital-db,5.31%,67.94MiB / 512MiB,13.27%
16:17:42,prontudigital-backend,15.41%,536.2MiB / 1GiB,52.36%
16:17:42,prontudigital-db,1.45%,68.09MiB / 512MiB,13.30%
16:17:50,prontudigital-backend,24.87%,536.2MiB / 1GiB,52.36%
16:17:50,prontudigital-db,1.05%,69.82MiB / 512MiB,13.64%
16:17:58,prontudigital-backend,11.79%,536.4MiB / 1GiB,52.38%
16:17:58,prontudigital-db,0.98%,70.32MiB / 512MiB,13.74%
16:18:06,prontudigital-backend,59.42%,536.4MiB / 1GiB,52.39%
16:18:06,prontudigital-db,8.29%,71.48MiB / 512MiB,13.96%
16:18:14,prontudigital-backend,94.27%,536.3MiB / 1GiB,52.37%
16:18:14,prontudigital-db,59.63%,72.89MiB / 512MiB,14.24%
16:18:22,prontudigital-backend,95.64%,536.5MiB / 1GiB,52.40%
16:18:22,prontudigital-db,7.31%,81.88MiB / 512MiB,15.99%
16:18:30,prontudigital-backend,10.96%,536.5MiB / 1GiB,52.39%
16:18:30,prontudigital-db,7.76%,83.02MiB / 512MiB,16.21%
16:18:38,prontudigital-backend,52.41%,536.5MiB / 1GiB,52.39%
16:18:38,prontudigital-db,27.99%,83.74MiB / 512MiB,16.36%
16:18:46,prontudigital-backend,33.38%,536.5MiB / 1GiB,52.39%
16:18:46,prontudigital-db,14.51%,84.34MiB / 512MiB,16.47%
16:18:54,prontudigital-backend,25.40%,536.7MiB / 1GiB,52.42%
16:18:54,prontudigital-db,10.91%,85.07MiB / 512MiB,16.62%
16:19:02,prontudigital-backend,40.56%,536.5MiB / 1GiB,52.39%
16:19:02,prontudigital-db,26.16%,85.79MiB / 512MiB,16.76%
16:19:10,prontudigital-backend,76.87%,536.5MiB / 1GiB,52.40%
16:19:10,prontudigital-db,52.69%,86.17MiB / 512MiB,16.83%
16:19:18,prontudigital-backend,51.34%,536.9MiB / 1GiB,52.43%
16:19:18,prontudigital-db,33.74%,86.23MiB / 512MiB,16.84%
16:19:26,prontudigital-backend,35.80%,536.9MiB / 1GiB,52.43%
16:19:26,prontudigital-db,28.70%,86.39MiB / 512MiB,16.87%
16:19:34,prontudigital-backend,34.97%,536.7MiB / 1GiB,52.41%
16:19:34,prontudigital-db,9.82%,86.68MiB / 512MiB,16.93%
16:19:42,prontudigital-backend,37.02%,536.7MiB / 1GiB,52.41%
16:19:42,prontudigital-db,27.03%,86.71MiB / 512MiB,16.93%
16:19:50,prontudigital-backend,23.52%,536.7MiB / 1GiB,52.41%
16:19:50,prontudigital-db,18.35%,86.83MiB / 512MiB,16.96%
16:19:58,prontudigital-backend,137.25%,536.7MiB / 1GiB,52.41%
16:19:58,prontudigital-db,112.14%,87.43MiB / 512MiB,17.08%
16:20:06,prontudigital-backend,103.77%,540.4MiB / 1GiB,52.77%
16:20:06,prontudigital-db,110.17%,114.7MiB / 512MiB,22.41%
