carimbo,container,cpu_pct,mem_uso,mem_pct
15:46:37,prontudigital-backend,0.36%,417.1MiB / 1GiB,40.73%
15:46:37,prontudigital-db,0.01%,66.2MiB / 512MiB,12.93%
15:46:46,prontudigital-backend,83.34%,427MiB / 1GiB,41.70%
15:46:46,prontudigital-db,11.03%,66.76MiB / 512MiB,13.04%
15:46:54,prontudigital-backend,40.01%,432.8MiB / 1GiB,42.26%
15:46:54,prontudigital-db,3.32%,68.14MiB / 512MiB,13.31%
15:47:02,prontudigital-backend,101.15%,441.4MiB / 1GiB,43.11%
15:47:02,prontudigital-db,13.10%,71.71MiB / 512MiB,14.01%
15:47:10,prontudigital-backend,102.66%,448.1MiB / 1GiB,43.76%
15:47:10,prontudigital-db,33.85%,73.3MiB / 512MiB,14.32%
15:47:18,prontudigital-backend,182.32%,454.5MiB / 1GiB,44.38%
15:47:18,prontudigital-db,21.02%,74.94MiB / 512MiB,14.64%
15:47:26,prontudigital-backend,200.26%,476.6MiB / 1GiB,46.54%
15:47:26,prontudigital-db,42.36%,76.2MiB / 512MiB,14.88%
15:47:35,prontudigital-backend,83.95%,481.9MiB / 1GiB,47.06%
15:47:35,prontudigital-db,3.03%,76.75MiB / 512MiB,14.99%
15:47:43,prontudigital-backend,155.97%,484.3MiB / 1GiB,47.29%
15:47:43,prontudigital-db,51.13%,80.98MiB / 512MiB,15.82%
15:47:51,prontudigital-backend,206.25%,486MiB / 1GiB,47.46%
15:47:51,prontudigital-db,65.41%,81.69MiB / 512MiB,15.95%
15:47:59,prontudigital-backend,131.39%,489.5MiB / 1GiB,47.81%
15:47:59,prontudigital-db,32.50%,87.54MiB / 512MiB,17.10%
15:48:07,prontudigital-backend,200.42%,491.5MiB / 1GiB,47.99%
15:48:07,prontudigital-db,100.50%,88.13MiB / 512MiB,17.21%
15:48:15,prontudigital-backend,188.68%,492.7MiB / 1GiB,48.12%
15:48:15,prontudigital-db,69.92%,90.43MiB / 512MiB,17.66%
15:48:23,prontudigital-backend,79.06%,497.8MiB / 1GiB,48.61%
15:48:23,prontudigital-db,67.06%,108.8MiB / 512MiB,21.25%
15:48:32,prontudigital-backend,92.64%,499.5MiB / 1GiB,48.78%
15:48:32,prontudigital-db,38.45%,110.8MiB / 512MiB,21.63%
15:48:40,prontudigital-backend,142.56%,500.8MiB / 1GiB,48.91%
15:48:40,prontudigital-db,100.17%,113MiB / 512MiB,22.07%
15:48:48,prontudigital-backend,66.44%,502MiB / 1GiB,49.02%
15:48:48,prontudigital-db,19.19%,113.3MiB / 512MiB,22.13%
15:48:56,prontudigital-backend,119.62%,504.2MiB / 1GiB,49.24%
15:48:56,prontudigital-db,89.52%,114.2MiB / 512MiB,22.31%
15:49:04,prontudigital-backend,41.05%,504.9MiB / 1GiB,49.31%
15:49:04,prontudigital-db,45.40%,115MiB / 512MiB,22.46%
15:49:12,prontudigital-backend,112.11%,508.6MiB / 1GiB,49.67%
15:49:12,prontudigital-db,105.48%,127.3MiB / 512MiB,24.87%
15:49:20,prontudigital-backend,136.12%,509.2MiB / 1GiB,49.72%
15:49:20,prontudigital-db,97.25%,129.6MiB / 512MiB,25.31%
15:49:28,prontudigital-backend,161.53%,509.8MiB / 1GiB,49.78%
15:49:28,prontudigital-db,99.53%,130.1MiB / 512MiB,25.41%
15:49:37,prontudigital-backend,188.80%,511.7MiB / 1GiB,49.97%
15:49:37,prontudigital-db,90.77%,130.7MiB / 512MiB,25.54%
15:49:46,prontudigital-backend,115.06%,511.9MiB / 1GiB,49.99%
15:49:46,prontudigital-db,100.43%,132.2MiB / 512MiB,25.82%
15:49:54,prontudigital-backend,100.29%,514.8MiB / 1GiB,50.28%
15:49:54,prontudigital-db,101.30%,132.3MiB / 512MiB,25.85%
15:50:02,prontudigital-backend,133.85%,515.7MiB / 1GiB,50.37%
15:50:02,prontudigital-db,101.12%,132.3MiB / 512MiB,25.84%
15:50:10,prontudigital-backend,114.11%,515.8MiB / 1GiB,50.37%
15:50:10,prontudigital-db,103.39%,133.5MiB / 512MiB,26.08%
15:50:19,prontudigital-backend,120.52%,516.1MiB / 1GiB,50.40%
15:50:19,prontudigital-db,101.13%,133.3MiB / 512MiB,26.04%
15:50:27,prontudigital-backend,124.25%,516.6MiB / 1GiB,50.45%
15:50:27,prontudigital-db,104.11%,133.6MiB / 512MiB,26.09%
15:50:35,prontudigital-backend,131.65%,516.3MiB / 1GiB,50.42%
15:50:35,prontudigital-db,90.92%,134MiB / 512MiB,26.18%
15:50:44,prontudigital-backend,158.76%,516.5MiB / 1GiB,50.44%
15:50:44,prontudigital-db,120.42%,133.9MiB / 512MiB,26.15%
15:50:52,prontudigital-backend,139.09%,520.3MiB / 1GiB,50.81%
15:50:52,prontudigital-db,103.99%,134.3MiB / 512MiB,26.23%
15:51:00,prontudigital-backend,131.14%,522.7MiB / 1GiB,51.05%
15:51:00,prontudigital-db,101.75%,134.9MiB / 512MiB,26.35%
15:51:08,prontudigital-backend,145.38%,523.1MiB / 1GiB,51.09%
15:51:08,prontudigital-db,103.85%,135.6MiB / 512MiB,26.48%
15:51:17,prontudigital-backend,123.52%,522.8MiB / 1GiB,51.06%
15:51:17,prontudigital-db,104.55%,135.3MiB / 512MiB,26.43%
15:51:25,prontudigital-backend,117.59%,523.4MiB / 1GiB,51.11%
15:51:25,prontudigital-db,101.53%,134.9MiB / 512MiB,26.35%
15:51:33,prontudigital-backend,126.57%,523.1MiB / 1GiB,51.08%
15:51:33,prontudigital-db,102.22%,135.7MiB / 512MiB,26.50%
15:51:41,prontudigital-backend,115.03%,523MiB / 1GiB,51.07%
15:51:41,prontudigital-db,79.57%,135.4MiB / 512MiB,26.45%
15:51:49,prontudigital-backend,93.42%,523.1MiB / 1GiB,51.08%
15:51:49,prontudigital-db,92.12%,136.1MiB / 512MiB,26.58%
15:51:57,prontudigital-backend,80.10%,523.1MiB / 1GiB,51.08%
15:51:57,prontudigital-db,51.42%,136.4MiB / 512MiB,26.65%
15:52:06,prontudigital-backend,115.76%,523.4MiB / 1GiB,51.11%
15:52:06,prontudigital-db,63.42%,136.1MiB / 512MiB,26.57%
15:52:14,prontudigital-backend,95.99%,525.2MiB / 1GiB,51.29%
15:52:14,prontudigital-db,100.43%,136.1MiB / 512MiB,26.59%
15:52:22,prontudigital-backend,111.45%,525.7MiB / 1GiB,51.34%
15:52:22,prontudigital-db,102.34%,136.3MiB / 512MiB,26.62%
15:52:31,prontudigital-backend,152.56%,526.4MiB / 1GiB,51.41%
15:52:31,prontudigital-db,101.16%,136.1MiB / 512MiB,26.59%
15:52:40,prontudigital-backend,94.93%,527.4MiB / 1GiB,51.50%
15:52:40,prontudigital-db,101.30%,136.8MiB / 512MiB,26.72%
15:52:48,prontudigital-backend,34.02%,527.5MiB / 1GiB,51.51%
15:52:48,prontudigital-db,21.61%,137MiB / 512MiB,26.76%
15:52:56,prontudigital-backend,36.58%,527.4MiB / 1GiB,51.51%
15:52:56,prontudigital-db,16.45%,136.3MiB / 512MiB,26.63%
15:53:04,prontudigital-backend,112.34%,527.6MiB / 1GiB,51.53%
15:53:04,prontudigital-db,99.74%,136.4MiB / 512MiB,26.64%
15:53:12,prontudigital-backend,101.99%,527.8MiB / 1GiB,51.54%
15:53:12,prontudigital-db,101.86%,137.1MiB / 512MiB,26.77%
15:53:21,prontudigital-backend,97.07%,527.9MiB / 1GiB,51.55%
15:53:21,prontudigital-db,100.38%,136.4MiB / 512MiB,26.63%
15:53:29,prontudigital-backend,137.28%,528.2MiB / 1GiB,51.58%
15:53:29,prontudigital-db,107.59%,136.6MiB / 512MiB,26.68%
